Dataset,Model,Accuracy,Macro_F1,Weighted_F1,Melanoma_F1
BCN20000,DenseNet121,93.33%,0.892,0.933,0.946
HAM10000,DenseNet121,94.61%,0.903,0.945,0.829
BCN20000,EfficientNet_B4,93.62%,0.924,0.936,0.944
HAM10000,EfficientNet_B4,95.21%,0.920,0.952,0.880
BCN20000,ResNet50,90.86%,0.888,0.908,0.925
HAM10000,ResNet50,81.64%,0.622,0.807,0.518
BCN20000,Swin_Base,92.38%,0.922,0.923,0.922
HAM10000,Swin_Base,97.90%,0.965,0.979,0.964
BCN20000,swin_dual_branch,93.33%,0.930,0.936,0.974
HAM10000,swin_dual_branch,98.90%,0.984,0.989,0.977
BCN20000,swin_focal,93.24%,0.931,0.935,0.976
HAM10000,swin_focal,90.32%,0.875,0.894,0.623
BCN20000,ViT_Base,89.81%,0.892,0.898,0.888
HAM10000,ViT_Base,89.12%,0.797,0.888,0.677
